# distance_um=4.5
# waist_um=2.0
# t_gate_us=4.5
# delta_start_mhz=-40.0
# delta_end_mhz=40.0
# wl_min=781.0
# wl_max=786.0
# n_wl=60
# power_min_uw=140.0
# power_max_uw=500.0
# n_power=40
# wl,power_uw,delta_A_mhz,delta_B_mhz,scatter_A_hz,P_gg,P_gr,P_rg,P_rr,pinning_leak,crosstalk,scatter_penalty,total_cost,P_target,other_residual,delta_A_over_Omega,delta_A_over_V
7.810847e+02,3.707692e+02,-1.468917e+02,-5.885258e-03,1.522952e+03,2.698345e-03,9.965146e-01,2.385074e-08,1.300738e-08,3.685813e-08,2.698345e-03,6.829853e-03,9.528235e-03,9.965146e-01,7.869747e-04,3.868751e+01,1.395599e+00
7.810847e+02,3.800000e+02,-1.505487e+02,-6.031779e-03,1.560868e+03,2.703743e-03,9.965093e-01,2.129521e-08,1.003536e-08,3.133057e-08,2.703743e-03,6.999295e-03,9.703069e-03,9.965093e-01,7.869697e-04,3.965069e+01,1.430345e+00
7.810847e+02,3.892308e+02,-1.542058e+02,-6.178300e-03,1.598784e+03,2.708584e-03,9.965044e-01,2.619426e-08,7.856755e-09,3.405101e-08,2.708584e-03,7.168707e-03,9.877325e-03,9.965044e-01,7.869653e-04,4.061386e+01,1.465090e+00
7.810847e+02,3.984615e+02,-1.578628e+02,-6.324820e-03,1.636699e+03,2.712950e-03,9.965001e-01,2.814945e-08,5.684199e-09,3.383365e-08,2.712950e-03,7.338091e-03,1.005107e-02,9.965001e-01,7.869613e-04,4.157704e+01,1.499835e+00
7.810847e+02,4.076923e+02,-1.615199e+02,-6.471341e-03,1.674615e+03,2.716843e-03,9.964962e-01,2.216466e-08,4.850375e-09,2.701503e-08,2.716843e-03,7.507446e-03,1.022432e-02,9.964962e-01,7.869577e-04,4.254021e+01,1.534580e+00
7.810847e+02,4.169231e+02,-1.651769e+02,-6.617862e-03,1.712531e+03,2.720291e-03,9.964927e-01,1.708790e-08,5.363920e-09,2.245182e-08,2.720291e-03,7.676771e-03,1.039708e-02,9.964927e-01,7.869545e-04,4.350339e+01,1.569325e+00
7.810847e+02,4.261538e+02,-1.688340e+02,-6.764383e-03,1.750447e+03,2.723352e-03,9.964897e-01,1.955708e-08,5.911600e-09,2.546868e-08,2.723352e-03,7.846068e-03,1.056945e-02,9.964897e-01,7.869518e-04,4.446656e+01,1.604071e+00
7.810847e+02,4.353846e+02,-1.724910e+02,-6.910904e-03,1.788363e+03,2.726050e-03,9.964870e-01,1.380670e-08,6.224728e-09,2.003142e-08,2.726050e-03,8.015336e-03,1.074141e-02,9.964870e-01,7.869493e-04,4.542973e+01,1.638816e+00
7.810847e+02,4.446154e+02,-1.761481e+02,-7.057425e-03,1.826278e+03,2.728393e-03,9.964846e-01,6.716171e-09,7.013076e-09,1.372925e-08,2.728393e-03,8.184575e-03,1.091298e-02,9.964846e-01,7.869471e-04,4.639291e+01,1.673561e+00
7.810847e+02,4.538462e+02,-1.798051e+02,-7.203946e-03,1.864194e+03,2.730416e-03,9.964826e-01,8.357927e-09,7.585941e-09,1.594387e-08,2.730416e-03,8.353786e-03,1.108422e-02,9.964826e-01,7.869453e-04,4.735608e+01,1.708306e+00
