# distance_um=4.5
# waist_um=2.0
# t_gate_us=9
# delta_start_mhz=-80
# delta_end_mhz=80
# wl_min=781.0
# wl_max=786.0
# n_wl=60
# power_min_uw=140.0
# power_max_uw=500.0
# n_power=40
# rabi_420_hz=135000000.0
# rabi_1013_hz=135000000.0
# Delta_hz=2400000000.0
# ac_stark_peak_mhz=1.8984375
# ac_stark_off=False
# sweep_delta_min_mhz=80.0
# sweep_delta_max_mhz=80.0
# n_delta=1
# sweep_tgate_min_us=9.0
# sweep_tgate_max_us=9.0
# n_tgate=1
# fix_wl=None
# fix_power_uw=None
# wl,power_uw,delta_A_mhz,delta_B_mhz,scatter_A_hz,P_gg,P_gr,P_rg,P_rr,pinning_leak,crosstalk,scatter_penalty,total_cost,P_target,other_residual,delta_A_over_Omega,delta_A_over_V,delta_half_mhz,t_gate_us
7.810000e+02,3.984615e+02,-1.760601e+02,-7.053902e-03,2.022085e+03,4.986405e-04,9.987131e-01,7.651228e-10,2.062051e-08,2.138563e-08,4.986405e-04,1.803417e-02,1.853283e-02,9.987131e-01,7.882178e-04,4.636975e+01,1.672726e+00,8.000000e+01,9.000000e+00
7.810000e+02,4.076923e+02,-1.801388e+02,-7.217313e-03,2.068929e+03,4.987571e-04,9.987130e-01,3.043320e-09,1.586268e-08,1.890600e-08,4.987571e-04,1.844807e-02,1.894685e-02,9.987130e-01,7.882201e-04,4.744395e+01,1.711476e+00,8.000000e+01,9.000000e+00
7.810000e+02,4.169231e+02,-1.842174e+02,-7.380723e-03,2.115772e+03,4.988362e-04,9.987129e-01,4.964521e-10,1.268670e-08,1.318315e-08,4.988362e-04,1.886180e-02,1.936065e-02,9.987129e-01,7.882223e-04,4.851815e+01,1.750226e+00,8.000000e+01,9.000000e+00
7.810000e+02,4.261538e+02,-1.882960e+02,-7.544134e-03,2.162616e+03,4.988747e-04,9.987129e-01,1.836688e-09,7.956517e-09,9.793204e-09,4.988747e-04,1.927535e-02,1.977424e-02,9.987129e-01,7.882244e-04,4.959236e+01,1.788977e+00,8.000000e+01,9.000000e+00
7.810000e+02,4.353846e+02,-1.923746e+02,-7.707545e-03,2.209460e+03,4.988848e-04,9.987129e-01,5.062619e-10,5.001864e-09,5.508126e-09,4.988848e-04,1.968873e-02,2.018762e-02,9.987129e-01,7.882264e-04,5.066656e+01,1.827727e+00,8.000000e+01,9.000000e+00
7.810000e+02,4.446154e+02,-1.964532e+02,-7.870956e-03,2.256303e+03,4.988642e-04,9.987129e-01,1.670303e-09,2.168884e-09,3.839187e-09,4.988642e-04,2.010194e-02,2.060081e-02,9.987129e-01,7.882280e-04,5.174076e+01,1.866478e+00,8.000000e+01,9.000000e+00
7.810000e+02,4.538462e+02,-2.005318e+02,-8.034367e-03,2.303147e+03,4.988223e-04,9.987129e-01,1.068873e-09,1.065676e-09,2.134550e-09,4.988223e-04,2.051497e-02,2.101379e-02,9.987129e-01,7.882296e-04,5.281496e+01,1.905228e+00,8.000000e+01,9.000000e+00
7.810000e+02,4.630769e+02,-2.046104e+02,-8.197778e-03,2.349991e+03,4.987561e-04,9.987130e-01,2.389378e-09,4.525949e-10,2.841973e-09,4.987561e-04,2.092783e-02,2.142658e-02,9.987130e-01,7.882311e-04,5.388917e+01,1.943978e+00,8.000000e+01,9.000000e+00
7.810000e+02,4.723077e+02,-2.086890e+02,-8.361189e-03,2.396834e+03,4.986739e-04,9.987131e-01,1.663110e-09,8.850721e-10,2.548183e-09,4.986739e-04,2.134051e-02,2.183918e-02,9.987131e-01,7.882325e-04,5.496337e+01,1.982729e+00,8.000000e+01,9.000000e+00
7.810000e+02,4.815385e+02,-2.127677e+02,-8.524599e-03,2.443678e+03,4.985717e-04,9.987132e-01,3.228000e-09,1.326112e-09,4.554113e-09,4.985717e-04,2.175302e-02,2.225159e-02,9.987132e-01,7.882337e-04,5.603757e+01,2.021479e+00,8.000000e+01,9.000000e+00
7.810000e+02,4.907692e+02,-2.168463e+02,-8.688010e-03,2.490522e+03,4.984573e-04,9.987133e-01,1.756026e-09,2.234225e-09,3.990251e-09,4.984573e-04,2.216535e-02,2.266381e-02,9.987133e-01,7.882348e-04,5.711177e+01,2.060230e+00,8.000000e+01,9.000000e+00
7.810000e+02,5.000000e+02,-2.209249e+02,-8.851421e-03,2.537365e+03,4.983263e-04,9.987134e-01,3.229082e-09,2.289728e-09,5.518810e-09,4.983263e-04,2.257751e-02,2.307585e-02,9.987134e-01,7.882359e-04,5.818598e+01,2.098980e+00,8.000000e+01,9.000000e+00
7.810847e+02,1.400000e+02,-5.546531e+01,-2.222234e-03,5.750565e+02,4.196124e-06,9.989090e-01,2.963824e-04,1.260689e-06,2.976431e-04,4.196124e-06,5.162139e-03,5.463978e-03,9.989090e-01,7.891376e-04,1.460815e+01,5.269691e-01,8.000000e+01,9.000000e+00
7.810847e+02,1.492308e+02,-5.912237e+01,-2.368755e-03,6.129723e+02,9.059774e-06,9.988296e-01,3.689431e-04,3.264803e-06,3.722079e-04,9.059774e-06,5.501562e-03,5.882829e-03,9.988296e-01,7.891026e-04,1.557132e+01,5.617143e-01,8.000000e+01,9.000000e+00
7.810847e+02,1.584615e+02,-6.277942e+01,-2.515276e-03,6.508882e+02,1.121311e-05,9.988592e-01,3.356382e-04,4.692890e-06,3.403311e-04,1.121311e-05,5.840869e-03,6.192413e-03,9.988592e-01,7.892163e-04,1.653450e+01,5.964595e-01,8.000000e+01,9.000000e+00
7.810847e+02,1.676923e+02,-6.643647e+01,-2.661797e-03,6.888040e+02,2.904274e-05,9.987907e-01,3.850090e-04,6.114948e-06,3.911239e-04,2.904274e-05,6.180060e-03,6.600227e-03,9.987907e-01,7.891612e-04,1.749767e+01,6.312047e-01,8.000000e+01,9.000000e+00
7.810847e+02,1.769231e+02,-7.009353e+01,-2.808318e-03,7.267198e+02,4.417281e-05,9.988001e-01,3.609731e-04,5.523883e-06,3.664969e-04,4.417281e-05,6.519136e-03,6.929805e-03,9.988001e-01,7.891807e-04,1.846085e+01,6.659499e-01,8.000000e+01,9.000000e+00
7.810847e+02,1.861538e+02,-7.375058e+01,-2.954839e-03,7.646356e+02,1.869489e-05,9.989064e-01,2.843245e-04,1.241841e-06,2.855663e-04,1.869489e-05,6.858096e-03,7.162357e-03,9.989064e-01,7.893035e-04,1.942402e+01,7.006951e-01,8.000000e+01,9.000000e+00
7.810847e+02,1.953846e+02,-7.740763e+01,-3.101360e-03,8.025514e+02,1.616272e-04,9.988220e-01,2.236388e-04,3.493783e-06,2.271326e-04,1.616272e-04,7.196940e-03,7.585700e-03,9.988220e-01,7.892112e-04,2.038720e+01,7.354403e-01,8.000000e+01,9.000000e+00
7.810847e+02,2.046154e+02,-8.106469e+01,-3.247881e-03,8.404672e+02,2.041064e-04,9.989413e-01,6.435282e-05,8.476035e-07,6.520043e-05,2.041064e-04,7.535668e-03,7.804975e-03,9.989413e-01,7.894395e-04,2.135037e+01,7.701855e-01,8.000000e+01,9.000000e+00
7.810847e+02,2.138462e+02,-8.472174e+01,-3.394402e-03,8.783830e+02,2.889000e-04,9.989014e-01,2.022772e-05,4.411613e-07,2.066888e-05,2.889000e-04,7.874282e-03,8.183850e-03,9.989014e-01,7.890490e-04,2.231354e+01,8.049307e-01,8.000000e+01,9.000000e+00
7.810847e+02,2.230769e+02,-8.837879e+01,-3.540923e-03,9.162989e+02,3.448689e-04,9.988535e-01,1.258664e-05,3.174446e-07,1.290408e-05,3.448689e-04,8.212779e-03,8.570552e-03,9.988535e-01,7.887461e-04,2.327672e+01,8.396760e-01,8.000000e+01,9.000000e+00
7.810847e+02,2.323077e+02,-9.203585e+01,-3.687444e-03,9.542147e+02,3.865763e-04,9.988178e-01,6.859547e-06,2.528429e-07,7.112390e-06,3.865763e-04,8.551161e-03,8.944850e-03,9.988178e-01,7.885474e-04,2.423989e+01,8.744212e-01,8.000000e+01,9.000000e+00
7.810847e+02,2.415385e+02,-9.569290e+01,-3.833965e-03,9.921305e+02,4.153389e-04,9.987922e-01,3.839489e-06,2.013288e-07,4.040817e-06,4.153389e-04,8.889428e-03,9.308807e-03,9.987922e-01,7.884205e-04,2.520307e+01,9.091664e-01,8.000000e+01,9.000000e+00
7.810847e+02,2.507692e+02,-9.934995e+01,-3.980485e-03,1.030046e+03,4.343454e-04,9.987738e-01,3.383858e-06,1.513852e-07,3.535243e-06,4.343454e-04,9.227579e-03,9.665460e-03,9.987738e-01,7.883393e-04,2.616624e+01,9.439116e-01,8.000000e+01,9.000000e+00
7.810847e+02,2.600000e+02,-1.030070e+02,-4.127006e-03,1.067962e+03,4.490879e-04,9.987603e-01,2.226095e-06,1.415965e-07,2.367691e-06,4.490879e-04,9.565615e-03,1.001707e-02,9.987603e-01,7.882853e-04,2.712942e+01,9.786568e-01,8.000000e+01,9.000000e+00
7.810847e+02,2.692308e+02,-1.066641e+02,-4.273527e-03,1.105878e+03,4.604197e-04,9.987501e-01,1.102174e-06,1.510225e-07,1.253196e-06,4.604197e-04,9.903535e-03,1.036521e-02,9.987501e-01,7.882492e-04,2.809259e+01,1.013402e+00,8.000000e+01,9.000000e+00
7.810847e+02,2.784615e+02,-1.103211e+02,-4.420048e-03,1.143794e+03,4.683123e-04,9.987423e-01,9.843958e-07,1.505693e-07,1.134965e-06,4.683123e-04,1.024134e-02,1.071079e-02,9.987423e-01,7.882259e-04,2.905577e+01,1.048147e+00,8.000000e+01,9.000000e+00
7.810847e+02,2.876923e+02,-1.139782e+02,-4.566569e-03,1.181710e+03,4.743154e-04,9.987364e-01,9.375846e-07,1.558222e-07,1.093407e-06,4.743154e-04,1.057903e-02,1.105444e-02,9.987364e-01,7.882108e-04,3.001894e+01,1.082892e+00,8.000000e+01,9.000000e+00
7.810847e+02,2.969231e+02,-1.176352e+02,-4.713090e-03,1.219625e+03,4.794312e-04,9.987317e-01,4.835194e-07,1.688936e-07,6.524129e-07,4.794312e-04,1.091661e-02,1.139669e-02,9.987317e-01,7.882009e-04,3.098212e+01,1.117638e+00,8.000000e+01,9.000000e+00
