# distance_um=4.5
# waist_um=2.0
# t_gate_us=4.5
# delta_start_mhz=-11.4
# delta_end_mhz=11.4
# wl_min=781.0
# wl_max=786.0
# n_wl=60
# power_min_uw=140.0
# power_max_uw=500.0
# n_power=40
# rabi_420_hz=135000000.0
# rabi_1013_hz=135000000.0
# Delta_hz=2400000000.0
# ac_stark_peak_mhz=1.8984375
# ac_stark_off=False
# sweep_delta_min_mhz=11.4
# sweep_delta_max_mhz=11.4
# n_delta=1
# sweep_tgate_min_us=4.5
# sweep_tgate_max_us=4.5
# n_tgate=1
# fix_wl=None
# fix_power_uw=None
# wl,power_uw,delta_A_mhz,delta_B_mhz,scatter_A_hz,P_gg,P_gr,P_rg,P_rr,pinning_leak,crosstalk,scatter_penalty,total_cost,P_target,other_residual,delta_A_over_Omega,delta_A_over_V,delta_half_mhz,t_gate_us
7.810000e+02,3.892308e+02,-1.719815e+02,-6.890491e-03,1.975241e+03,8.642905e-03,9.905747e-01,2.070532e-08,2.579950e-09,2.328527e-08,8.642905e-03,8.849199e-03,1.749213e-02,9.905747e-01,7.823509e-04,4.529555e+01,1.633975e+00,1.140000e+01,4.500000e+00
7.810000e+02,3.984615e+02,-1.760601e+02,-7.053902e-03,2.022085e+03,8.643599e-03,9.905740e-01,2.251523e-08,1.995487e-09,2.451071e-08,8.643599e-03,9.058109e-03,1.770173e-02,9.905740e-01,7.823506e-04,4.636975e+01,1.672726e+00,1.140000e+01,4.500000e+00
7.810000e+02,4.076923e+02,-1.801388e+02,-7.217313e-03,2.068929e+03,8.644979e-03,9.905726e-01,2.421258e-08,1.810472e-09,2.602305e-08,8.644979e-03,9.266974e-03,1.791198e-02,9.905726e-01,7.823498e-04,4.744395e+01,1.711476e+00,1.140000e+01,4.500000e+00
7.810000e+02,4.169231e+02,-1.842174e+02,-7.380723e-03,2.115772e+03,8.647022e-03,9.905706e-01,2.588359e-08,1.806319e-09,2.768990e-08,8.647022e-03,9.475795e-03,1.812284e-02,9.905706e-01,7.823483e-04,4.851815e+01,1.750226e+00,1.140000e+01,4.500000e+00
7.810000e+02,4.261538e+02,-1.882960e+02,-7.544134e-03,2.162616e+03,8.649698e-03,9.905679e-01,2.700975e-08,1.859581e-09,2.886933e-08,8.649698e-03,9.684572e-03,1.833430e-02,9.905679e-01,7.823464e-04,4.959236e+01,1.788977e+00,1.140000e+01,4.500000e+00
7.810000e+02,4.353846e+02,-1.923746e+02,-7.707545e-03,2.209460e+03,8.652975e-03,9.905647e-01,2.364864e-08,1.876072e-09,2.552471e-08,8.652975e-03,9.893305e-03,1.854631e-02,9.905647e-01,7.823440e-04,5.066656e+01,1.827727e+00,1.140000e+01,4.500000e+00
7.810000e+02,4.446154e+02,-1.964532e+02,-7.870956e-03,2.256303e+03,8.656824e-03,9.905608e-01,1.641157e-08,1.933831e-09,1.834540e-08,8.656824e-03,1.010199e-02,1.875884e-02,9.905608e-01,7.823410e-04,5.174076e+01,1.866478e+00,1.140000e+01,4.500000e+00
7.810000e+02,4.538462e+02,-2.005318e+02,-8.034367e-03,2.303147e+03,8.661218e-03,9.905564e-01,1.124312e-08,2.174991e-09,1.341811e-08,8.661218e-03,1.031064e-02,1.897187e-02,9.905564e-01,7.823377e-04,5.281496e+01,1.905228e+00,1.140000e+01,4.500000e+00
7.810000e+02,4.630769e+02,-2.046104e+02,-8.197778e-03,2.349991e+03,8.666137e-03,9.905515e-01,9.559724e-09,2.465685e-09,1.202541e-08,8.666137e-03,1.051924e-02,1.918539e-02,9.905515e-01,7.823340e-04,5.388917e+01,1.943978e+00,1.140000e+01,4.500000e+00
7.810000e+02,4.723077e+02,-2.086890e+02,-8.361189e-03,2.396834e+03,8.671560e-03,9.905461e-01,8.214761e-09,2.445839e-09,1.066060e-08,8.671560e-03,1.072780e-02,1.939937e-02,9.905461e-01,7.823298e-04,5.496337e+01,1.982729e+00,1.140000e+01,4.500000e+00
